trip_number,trip_date,vehicle_number,leave_time,train,route_number,direction,service_key,stop_time,arrive_time,dwell,location_id,door,lift,ons,offs,estimated_load,train_mileage,pattern_distance,location_distance,x_coordinate,y_coordinate,data_source,schedule_status
170457701,2020-10-16,2291,25731,6002,60,0,W,25680,25720,11,919,1,0,0,0,2,1.9461,2.017,5.711652,-122.68116,45.61108333333333,2,4
170457701,2020-10-16,2291,25645,6002,60,0,W, ,25629,16,918,1,0,0,1,2,1.5634,1.6317,32.242155,-122.67736166666667,45.61129666666667,2,2
170457701,2020-10-16,2291,26136,6002,60,0,W,26040,26136,0,906,0,0,0,0,2,4.4639,4.5254,500.705899,-122.67057833333334,45.62762333333333,2,6
170457715,2020-10-16,2291,26136,6002,60,1,W,26040,26136,0,906,0,0,0,0,2,0,0,500.705899,-122.67057833333334,45.62762333333333,2,5
170457715,2020-10-16,2291,26162,6002,60,1,W, ,26149,13,908,1,0,0,0,2,0.041,0.1877,24.605807,-122.670525,45.62854166666666,2,2
170457715,2020-10-16,2291,26548,6002,60,1,W,26940,26548,0,832,1,0,0,6,0,3.0857,3.3287,17.187742,-122.685435,45.59618,2,6
170457715,2020-10-16,2291,26310,6002,60,1,W,26280,26206,104,1132,1,0,3,0,6,0.174,0.3275,13.068904,-122.67046333333333,45.63057166666667,2,4
170457720,2020-10-16,2291,28170,6002,60,0,W,28020,28170,0,832,1,0,6,0,6,0,0,104.717872,-122.68547666666667,45.59587,2,5
170457720,2020-10-16,2291,28387,6002,60,0,W, ,28387,0,918,0,0,0,0,6,1.6087,1.6317,181.223297,-122.67726333333333,45.611866666666664,2,2
170457720,2020-10-16,2291,28492,6002,60,0,W,28320,28473,19,919,1,0,1,0,7,1.9412,2.017,22.121662,-122.68116166666667,45.61103833333333,2,4
170457720,2020-10-16,2291,28821,6002,60,0,W,28680,28821,0,906,1,0,0,1,5,4.3446,4.5254,13.548625,-122.670515,45.626215,2,6
170457720,2020-10-16,2291,28576,6002,60,0,W, ,28567,9,1015,1,0,0,1,6,2.3556,2.465,21.957644,-122.684695,45.61233166666667,2,2
170457752,2020-10-16,2291,28897,6002,60,1,W, ,28872,25,908,1,0,4,1,7,0.1578,0.1877,29.704677,-122.67053166666666,45.62856,2,2
170457752,2020-10-16,2291,29250,6002,60,1,W,29580,29250,0,832,1,0,0,6,0,3.2019,3.3287,17.151757,-122.68543,45.59617166666666,2,6
170457752,2020-10-16,2291,28990,6002,60,1,W,28920,28973,17,1132,1,0,1,1,7,0.2902,0.3275,19.945122,-122.67043,45.63048833333333,2,4
170457752,2020-10-16,2291,28833,6002,60,1,W,28680,28833,0,906,1,0,0,0,5,0,0,13.548625,-122.670515,45.626215,2,5
170457752,2020-10-16,2291,31451,6002,60,1,W,31380,31451,0,906,0,0,0,0,2,0,0,558.540451,-122.67059333333333,45.627781666666664,2,5
170457752,2020-10-16,2291,31498,6002,60,1,W, ,31464,34,908,1,0,3,1,6,0.0391,0.1877,29.77563,-122.670545,45.628545,2,2
170457752,2020-10-16,2291,31906,6002,60,1,W,32280,31906,0,832,1,0,0,7,0,3.082,3.3287,16.032974,-122.68543166666667,45.59616333333334,2,6
170457752,2020-10-16,2291,31628,6002,60,1,W,31620,31533,95,1132,1,0,1,2,6,0.1709,0.3275,16.867625,-122.67045,45.630498333333335,2,4
170457752,2020-10-16,2291,34661,6002,60,1,W,34980,34661,0,832,1,0,0,6,0,3.2007,3.3287,15.118447,-122.68543833333334,45.59617166666666,2,6
170457752,2020-10-16,2291,34397,6002,60,1,W,34380,34373,24,1132,1,0,2,0,8,0.2908,0.3275,13.854062,-122.67043333333334,45.630505,2,4
170457752,2020-10-16,2291,34339,6002,60,1,W, ,34297,42,908,1,0,2,1,6,0.1584,0.1877,33.630541,-122.67052833333334,45.62857833333333,2,2
170457752,2020-10-16,2291,34253,6002,60,1,W,34140,34253,0,906,1,0,0,0,6,0,0,7.566202,-122.67053,45.626245,2,5
170457760,2020-10-16,2291,36321,6002,60,0,W,36300,36321,0,832,1,0,6,0,6,0,0,55.428322,-122.68548833333334,45.596005,2,5
170457760,2020-10-16,2291,36493,6002,60,0,W, ,36493,0,918,0,0,0,0,6,1.6087,1.6317,99.650692,-122.67729333333334,45.61164333333333,2,2
170457760,2020-10-16,2291,36997,6002,60,0,W,36960,36997,0,906,1,0,0,0,6,4.344,4.5254,16.688455,-122.670535,45.62621166666667,2,6
170457760,2020-10-16,2291,36625,6002,60,0,W,36600,36607,18,919,1,0,1,1,6,1.9436,2.017,13.031681,-122.68115666666667,45.611063333333334,2,4
170457760,2020-10-16,2291,36727,6002,60,0,W, ,36727,0,1015,0,0,0,0,6,2.3923,2.465,114.966423,-122.68445833333334,45.61266666666667,2,2
170457760,2020-10-16,2291,40786,6002,60,0,W,40680,40786,0,906,0,0,0,0,4,4.4484,4.5254,526.22351,-122.67058,45.62769333333333,2,6
170457760,2020-10-16,2291,40365,6002,60,0,W,40320,40333,32,919,1,0,1,0,4,1.9312,2.017,18.921177,-122.68119,45.61105166666667,2,4
170457760,2020-10-16,2291,40039,6002,60,0,W,40020,40039,0,832,1,0,3,0,3,0,0,115.011357,-122.68548,45.595841666666665,2,5
170457760,2020-10-16,2291,40456,6002,60,0,W, ,40456,0,1015,0,0,0,0,4,2.3786,2.465,99.488801,-122.68448,45.612626666666664,2,2
